567394;1220347
568589;1220387
568664;1220311
568792;1220367
568803;1220480
568849;1220497
568868;1220406
568982;1220317
569117;1220331
569135;1220365
569188;1220375
569271;1220248
569352;1220280
569366;1220242
569347;1220153
569336;1220086
569466;1220044
569501;1219955
569475;1219868
569337;1219773
569353;1219579
569649;1219377
569573;1219227
569149;1219510
568873;1219580
568709;1219576
568579;1219589
568310;1219623
568022;1219632
567971;1219547
567894;1219623
567739;1219755
567628;1219865
567499;1219883
567356;1219936
567250;1219889
567174;1219880
567183;1219996
567276;1219986
567461;1220082
567460;1220146
567433;1220226
